Line Number,Word Order,Word
62,501,ἐρείομεν
62,502,ἢ
62,503,ἱερῆα
63,504,63
63,505,ἢ
63,506,καὶ
63,507,ὀνειροπόλον
63,508,καὶ
63,509,γάρ
63,510,τʼ
63,511,ὄναρ
63,512,ἐκ
63,513,Διός
63,514,ἐστιν
64,515,64
64,516,ὅς
64,517,κʼ
64,518,εἴποι
64,519,ὅ
64,520,τι
64,521,τόσσον
64,522,ἐχώσατο
64,523,Φοῖβος
64,524,Ἀπόλλων
65,525,65
65,526,εἴτʼ
65,527,ἄρʼ
65,528,ὃ
65,529,γʼ
65,530,εὐχωλῆς
65,531,ἐπιμέμφεται
65,532,ἠδʼ
65,533,ἑκατόμβης
66,534,66
66,535,αἴ
66,536,κέν
66,537,πως
66,538,ἀρνῶν
66,539,κνίσης
66,540,αἰγῶν
66,541,τε
66,542,τελείων
67,543,67
67,544,βούλεται
67,545,ἀντιάσας
67,546,ἡμῖν
67,547,ἀπὸ
67,548,λοιγὸν
67,549,ἀμῦναι
68,550,68
68,551,Ἦ
68,552,ῥα
68,553,καὶ
68,554,ἄρʼ
68,555,ἕζετο
68,556,κατὰ
68,557,τοῖσι
68,558,δʼ
68,559,ἀνέστη
69,560,69
69,561,Κάλχας
69,562,Θεστορίδης
69,563,οἰωνοπόλων
69,564,ὄχʼ
69,565,ἄριστος
70,566,70
70,567,ὃς
70,568,ᾔδη
70,569,τά
70,570,τʼ
70,571,ἐόντα
70,572,τά
70,573,τʼ
70,574,ἐσσόμενα
70,575,πρό
70,576,τʼ
70,577,ἐόντα
71,578,71
71,579,καὶ
71,580,νήεσσʼ
71,581,ἡγήσατʼ
71,582,Ἀχαιῶν
71,583,Ἴλιον
71,584,εἴσω
72,585,72
72,586,ἣν
72,587,διὰ
72,588,μαντοσύνην
72,589,τήν
72,590,οἱ
72,591,πόρε
72,592,Φοῖβος
72,593,Ἀπόλλων
73,594,73
73,595,ὅ
73,596,σφιν
73,597,ἐϋφρονέων
73,598,ἀγορήσατο
73,599,καὶ
73,600,μετέειπεν
74,601,74
74,602,ὦ
74,603,Ἀχιλεῦ
74,604,κέλεαί
74,605,με
74,606,Διῒ
74,607,φίλε
74,608,μυθήσασθαι
75,609,75
75,610,μῆνιν
75,611,Ἀπόλλωνος
75,612,ἑκατηβελέταο
75,613,ἄνακτος
76,614,76
76,615,τοὶ
76,616,γὰρ
76,617,ἐγὼν
76,618,ἐρέω
76,619,σὺ
76,620,δὲ
76,621,σύνθεο
76,622,καί
76,623,μοι
76,624,ὄμοσσον
77,625,77
77,626,ἦ
77,627,μέν
77,628,μοι
77,629,πρόφρων
77,630,ἔπεσιν
77,631,καὶ
